,ngo_name,full_address,city,state,contact_1,contact_2,website,mail
0,ABHYUDAYA KENDRA,GRATIA PLENA CONVENT SANTIBASTWAD,BELGAUM,KARNATAKA,Not Available,8861087421,Not Available,laveenagrace(at)yahoo[dot]com
0,ABHYUDHAYA SEVA PRATHISTANA,"Paipalya Village, Julapalya post, Bagepalli Taluk, Chikkaballapura Dist. 563159",Bagepalli,KARNATAKA,Not Available,9448845126,Not Available,venkateshpspaipalya(at)gmail[dot]com
0,ABUNDANT LIFE FOR ALL MINISTRIES,NO.83 I MAIN 24TH CROSS MARUTHI NAGAR YELAHANKA BANGALORE-64,BANGALORE,KARNATAKA,Not Available,9845531372,Not Available,Kgollapalli(at)gmail[dot]com
0,ACADEMY FOR CREATIVE TEACHING TRUST,"480, 6th Main, HMT Colony, Opp Bus Depot, R T Nagar",Banglore,KARNATAKA,Not Available,9845206228,http://acttrust.org/,sunita[dot]phadnis(at)actedu.in
0,Academy for Severe Handicaps and Autism( ASHA) Charitable Trust,"L-76/A, Kirloskar Colony, 5th Main, 3rd cross, Basaveshwaranagar, 4th Block",Bangalore,KARNATAKA,Not Available,9901724485,http://www.ashaforautism.com,info(at)ashaforautism[dot]com
0,ACADEMY OF COMPARATIVE PHILOSOPHY AND RELIGION,GURUDEV RANADE MANDIR HINDWADI BELGAUM,BELGAUM,KARNATAKA,Not Available,9448850016,Not Available,info(at)acprbgm[dot]org
0,Accelerate India Foundation Trust,"92, 2nd Main, 2nd Cross, CIL Layout, Sanjaynagar, Bangalore560094",Bangalore,KARNATAKA,Not Available,7411490714,https://www.accelindiatrust.com,apabharana(at)factumindia[dot]law
0,ACCEPT SOCIETY,"245, KRC Road, Dodda Gubbi Post, Bangalore560077",Bangalore,KARNATAKA,Not Available,9448619619,http://www.acceptindia.org/,rajujoyce(at)gmail[dot]com
0,ACCESS,"10, ACCESS, New Chellekere Extension, Kalyan Nagar, Bangalore -560 043",Bangalore,KARNATAKA,Not Available,9448277064,Not Available,accesscares(at)yahoo[dot]co.in
0,ACCION TECHNICAL ADVISORS INDIA,"9/3, Kaiser-E-Hind, 1st Floor and 3rd Floor, Richmond Road, Bangalore, Karnata-560025",BANGALORE,KARNATAKA,Not Available,9958173610,https://www.accion.org/,aagrawal(at)accion[dot]org
0,ACCPL Training Division A unit of Adityaa Call center Pvt Limited,"ACCPL Training Division ( A unit of Adityaa Call Center Private Limited ) No. 88/1 , Shubh Arcade , 16th Cross Margosa Road , Malleswaram , Bangalore 560003",Bangalore,KARNATAKA,080-23468357,9342201736,http://accpltraining.net,accpltrg(at)gmail[dot]com
0,ACE CHARITABLE TRUST,"No29/10A, 14th B Cross,Sarakki Layout, 1st Phase, J P Nagar, Bangalore560078",Bangalore,KARNATAKA,Not Available,9886061182,Not Available,acecharitabletrust(at)gmail[dot]com
0,ACE EDUCATION TRUST,"No.6/1 Cauvery Arcade, Vishwamanava Double Road,Saraswathipuram",Mysore,KARNATAKA,Not Available,9945078459,http://www.aceedutrust.org,rajudeshani(at)hotmail[dot]com
0,Achalabharathi,"190, Nandana 1st Cross, Garden Villas, Nagarabhavi Road, Bengaluru-560072",Bengaluru,KARNATAKA,Not Available,9886408249,http://www.achalabharathi.org,mitra[dot]ar(at)achalabharathi.org
0,ACRESAT,"NO.202, THITTAMARANAHALLI, CHANNAPATNA TALUK, RAMANAGARA DISTRICT",CHANNAPATNA,KARNATAKA,Not Available,9113658686,Not Available,acresat2012(at)gmail[dot]com
0,Action Aid,"139, RICHMOND ROAD",Bangalore,KARNATAKA,Not Available,9818421492,https://www.actionaidindia.org/,amit[dot]dubey(at)actionaid.org
0,Action for Community Organisation Rehabilitation and Development,"14/1, North Road, St.Thomas Town, Bangalore",Bangalore,KARNATAKA,Not Available,8086790638,Not Available,accordgudalur(at)gmail[dot]com
0,Action for Social and Educational Development Association,"Action for social and educational and development assoication , shiva nilaya fortGowribidanur -561208 Gowribidanur (Taluk) Chikkaballpura -District",Gowribidanur,KARNATAKA,08155-286927,9448260531,Not Available,aseda_action(at)yahoo[dot]com
0,ACTION FOUNDATION FOR SOCIAL SERVICES,"37/5, ULSOOR ROAD,YELLAPA CHETTY LAYOUT BANGALORE",Bangalore,KARNATAKA,Not Available,9902907783,Not Available,seeplamesh(at)gmail[dot]com
0,Action Initiative for Development AID,"Gowripura. Kyasenahalli post,Jagalur Taluk, Davanagere district, Pincode: 577528 Karnataka state, India. aidorg@yahoo.in91 9035247600.",Jagalur,KARNATAKA,08192-235684,9035247600,http://www.aid-india.org,aidorg(at)yahoo[dot]in
0,Action on Disability and Development India,"No 4005, 19th Cross, Banashankari 2nd Stage, Bangalore -560070",Bangalore,KARNATAKA,080-26765881,9845963041,Not Available,addindia(at)vsnl[dot]net
0,ACTION SOCIETY FOR INTEGRAL DEVELOPMENT,"ACTION SOCIETY FOR INTEGRAL DEVELOPMENT KUMBARPET, BAGEPALLI - 561 207 CHICKABALLAPUR DISTRICT KARNATAKA",KOLAR,KARNATAKA,08150-282246,9448209169,Not Available,asid_org(at)yahoo[dot]com
0,ACTIONAID KARNATAK PROJEC,"ACTIONAID KARNATAKA PROJECTS 139, RICHMOND ROAD, BANGALORE560025 (KARNATAKA)",BANGALORE,KARNATAKA,Not Available,9448112153,Not Available,tk_ramesh(at)yahoo[dot]com
0,ACTS GROUP OF INSTITUTIONS,"54 KHB COLONY, 5TH BLOCK 2ND CROSS, KORAMANGALA",Bangalore,KARNATAKA,Not Available,9900519128,http://www.acrsgroup.org,cfo(at)actsgroup[dot]org
0,ACTS OF HOPE,"Acts of Hope Lovedale Layout, Kasavanagalli, Carmelaram Post, Bangalore560 035",Bangalore,KARNATAKA,Not Available,9341158445,Not Available,actsofhope[dot]blr(at)gmail.com
0,Adamya Rangasamskruti Trust,"No.89, Ramajyothinagar, Dubasipalya Road, R V Engineering College Post, Mysore Road, Bangalore",Bangalore,KARNATAKA,Not Available,9611124454,Not Available,chayabhargavitheatre(at)gmail[dot]com
0,Adarane Trust,"No. 732, 2ndCross, RK Hegde Nagar, SRK Nagar PO",Bangalore,KARNATAKA,Not Available,9916744744,Not Available,adaranetrust(at)gmail[dot]com
0,Adarsh Education and Social Welfare Scty,"Plot no 2688, M M Extension Belagavi",Belgaum,KARNATAKA,0831-2453018,9900552336,Not Available,aesws[dot]belgaum(at)gmail.com
0,ADARSH FOUNDATION,"DR. A. P. J.ABDUL KALAM BHAVAN , PLOT NO:- 30/07 , SR NO 247/B NEARNEW BUSTAND GANDHINAGAR ROADRAMDURG-591123 DIST:-BELGAUM STATE:- KARNATAKA,INDIA",RAMDURG,KARNATAKA,08335-241098,9663009626,http://www.adarshfoundation.org,adarshfoundation6(at)gmail[dot]com
0,Adarsh Hindi Vidyapeeth,"Kalamman Agasi, Hubli",Hubli,KARNATAKA,0836-4252123,9964515658,Not Available,adarsh[dot]vidyapeeth(at)gmail.com
0,ADARSH VIDYAVARDHAK SANGH,ADARSHA VIDYA VARDHAK SANGHA DESTITUTE COTTAGE NEAR BUS STOPBEWOOR TQ:DUST: BAGALKOT,BEWOOR,KARNATAKA,Not Available,9448816718,Not Available,guru[dot]b.bewoor(at)gmail.com
0,ADARSH WOMEN DEVELOPMENT ASSOCIATION (R),"ADARSH WOMEN DEVELOPMENT ASSOCIATION (R) NAVANAGAR,BAGALKOT",BAGALKOT,KARNATAKA,Not Available,9481981407,Not Available,awdagld(at)yahoo[dot]com
0,Adarsha Education Society,Adarsha Education Society Sangankallu village Bellary Tq and District 583103,Bellary,KARNATAKA,08392-267782,9611967781,Not Available,amshivakumar007(at)gmail[dot]com
0,ADARSHA HINDIVIDYALAYA,"Adarsha Hindi Vidyalaya 43/1-A, First Block, T.R.Nagar, Bangalore-560028 Karnataka INDIA",Bangalre,KARNATAKA,Not Available,9480031118,Not Available,adarshahindi(at)gmail[dot]com
0,ADARSHA MAHILA MANDALI,"ADARSHA MAHILA MANDALI(R)DRAVIDA NILAYA,HADAGALI ROAD,HARAPANAHALLI-583131 DAVANAGERE-DIST",HARAPANAHALLI,KARNATAKA,08398-282244,9449434664,Not Available,bparashuram(at)rediffmail[dot]com
0,ADARSHA RURAL DEVELOPMENT AND TRAINING SOCIETY,"Opp:Housing Board 5th Block, Bagepalli-561207, Chickaballapur District, Karnataka.",Bangalore,KARNATAKA,Not Available,8332840958,Not Available,adarsha1994(at)yahoo[dot]com
0,ADARSHA SAMAJA KARYA SAMSTE,"ADARSHA SAMAJA KARYA SAMSTE (R) DOOR NO. 1107, C-6 CROSS, SHIVAKUMARASWAMY NAGARA 2ND STAGE, DAVANAGERE",DAVANAGERE,KARNATAKA,08192-289643,9845135783,Not Available,manjappa_adarsha(at)yahoo[dot]com
0,ADEPT Educational and Welfare Trust,"No.2/1, 1st cross, Masjid Street, BSA cross, Tannery Road, Bangalore-560005",Bangalore,KARNATAKA,Not Available,8660072706,Not Available,adeptblr(at)gmail[dot]com
0,Adhara Shadja,Adhara Shadja (R) Hirehadda Po: Hukkali Tq: Siddapura (U.K) 581331,Siddapura,KARNATAKA,08389-249429,9449203522,http://adharashadja.wordpress.com,adharashadja(at)gmail[dot]com
0,ADHIRAKSHANA SAMAJA SEVA SAMSTHE,"ADHIRAKSHANA SAMAJA SEVA SAMSTHE(R,)NEAR RAILWAY STATION CHITRADURGA-577501",Chitradurga,KARNATAKA,Not Available,9741883605,Not Available,asssamsthe(at)gmail[dot]com
0,Adichunchanagiri Hospital and Research Centre,"Adichunchanagiri Hospital and Research center Balagangadharanathanagara - 571 448, Nagamangala taluk, Mandya district.",Nagamangala,KARNATAKA,08234-287755,8762557576,http://www.bgsaims.com,purchasebgsaims(at)gmail[dot]com
0,Adidravida Tamate Mattu Nagari Samskruthika Kala Vrunda,No 59B B KeriPulakeshi Road Mysore 570021,MYSURU,KARNATAKA,Not Available,9342005711,Not Available,cmanjunathnagari(at)gmail[dot]com
0,ADIJAMBAVA SHIKSHANA SAMSTHE,ADIJAMBAVA SHIKSHANA SAMSTHEBAPUJI ONI DEVADURGA TQ DEVADURGA,DEVADURGA,KARNATAKA,Not Available,9448633209,Not Available,Adijambava209(at)gmail[dot]com
0,Adishakti Rural Development Society Markumbi,A/P: Markumbi Tq : Savadatti Dist : Belgaum,savadatti,KARNATAKA,Not Available,9611690716,Not Available,ardsmarkumbi(at)yahoo[dot]com
0,ADISHAKTYATMAKA SRI ANNAPOORNESHWARI DEVASTHANADA RAKSHANA PRATHISTHANA,"NO.1, CAR STREET, HORANADU",CHIKMAGALUR,KARNATAKA,Not Available,9448282412,Not Available,gsjoshy(at)gmail[dot]com
0,ADITYA EDUCATIONAL TRUST,"No.174/40, Lucky Paradise, 8th F-Main,22nd Cross, 3rd Block, Jayanagar, angalore.",Bangalore,KARNATAKA,Not Available,9845280559,Not Available,REDDYPRABHAKARA22(at)GMAIL[dot]COM
0,ADMAR MUTT EDUCATION FOUNDATION,"ADMAR MUTT EDUCATION FOUNDATION (POORNAPRAJNA INSTITUTE OF SCIENTIFIC RESEARCH) NO. 4, 16TH CROSS, SADASHIVANAGAR,",BANGALORE,KARNATAKA,Not Available,9986312479,http://www.ppisr.res.in,director(at)poornaprajna[dot]org
0,Adullam Educational Institution,"BM Bypass, 1st Cross, River Road",Hunsur,KARNATAKA,Not Available,9448336761,http://www.adullam.in,adullamschool(at)gmail[dot]com
0,ADVAITA FOUNDATION,"741, V Prasad Complex, 2nd Floor, Opp to Govt Hospital, Sulibele, Main Road, Hoskote Taluk,Bangalore",Bangalore Rural,KARNATAKA,Not Available,9972737610,Not Available,mahanthks32(at)gmail[dot]com
0,ADVAITH VISHWASTHA MANDALA,"DR SV HIREMATH, NO 931, SHRI MAHALAXMI NILAYA, SCHEME 40, KUVEMPU NAGAR, BELAGAVI",BELAGAVI,KARNATAKA,Not Available,9964672452,Not Available,advaithvishwasthamandal(at)gmail[dot]com
0,Advaya Community Trust,"24, Flower Garden Rd, Raja Reddy Layout, Babusabpalya, Hennur",Bangalore,KARNATAKA,Not Available,9986031056,Not Available,vinayakamurthic(at)gmail[dot]com
0,Advi Siddeshwar Rural Development Society,Plot No 2022 Ganesh Circle Opp SBI Ramateerth Nagar Buda Layout Belagavi,Belgaum,KARNATAKA,0831-2423264,9739827589,http://www.asrds.org,asrdsbgm(at)gmail[dot]com
0,AFALAH EDUAIONAL AND MINORITY SOCIEL WELFAR TRUST,ADILPUR TALUK SHAHAPUR DIST YADGIR,SHAHAPUR,KARNATAKA,Not Available,8050488911,Not Available,ALFALAHMINORITYTRUST(at)GMAIL[dot]COM
0,AFTAB EDUCATION TRUST (R),"YERAMARUS CAMP , RAICHUR",RAICHUR,KARNATAKA,Not Available,7022572238,Not Available,aftabeducation2003(at)gmail[dot]com
0,AGAPE BIBLE FELLOWSHIP,NO. 3 CHURCH STREET LINGARAJAPURAM ST. THOMAS TOWN POST,BANGALORE,KARNATAKA,Not Available,7795353391,http://www.agapebangalore.org,ABCABFINDIA(at)GMAIL[dot]COM
0,AGAPE MINISTRIES INDIA,"NO.632, ERAPPA LAYOUT, BANASWADI MAIN ROAD",BANGALORE,KARNATAKA,Not Available,9845214117,Not Available,agape(at)vsnl[dot]com
0,AGASTYA INTERNATIONAL FOUNDATION,"No 101, Varsav Plaza, 12, Jayamahal Main Road, Bangalore",Bangalore,KARNATAKA,080-41124132,9449596360,http://www.agastya.org,agastyaadmin(at)gmail[dot]com
0,Agency for Development Awakening and Rural Self Help Associations,"ADARSHA, Adarshadhama, Vijayanagar, J.M Road 3rd cross",Moodbidri,KARNATAKA,Not Available,9845134707,Not Available,adarsha(at)live[dot]in
0,AGHORI GLOBAL FOUNDATION,AGHORI GLOBAL FOUNDATION No 20 and 21 8 Thapobhoomi 3rd Main 3rd Cross Santhrupthinagar J P Nagar 7th Phase Bangalore 560078,Bangalore,KARNATAKA,080-41157588,8088888688,http://,aghorisa(at)gmail[dot]com
0,AGK EDUCATIONAL TRUST,"Next KEB Office, Anekal Road, Chandapura, Anekal Taluk, Bangalore 560081",Bangalore,KARNATAKA,Not Available,9986682866,Not Available,spehscentre(at)gmail[dot]com
0,Agni Raksha,"Rosey Cottage 58/1 13th main road, J.P Nagar 1st phase, Bangalore560078",Bangalore,KARNATAKA,Not Available,9886066360,http://www.agniraksha.org,agniraksha(at)vsnl[dot]net
0,Agricultural Development And Training Society,ADATS Campus 16th Ward Bagepalli 561207,Bagepalli,KARNATAKA,Not Available,9449730817,http://www.adats.com,mario(at)adats[dot]com
0,Agricultural Science Foundation,Agricultural Science Foundation At Post.: Hulkoti - 582205 Dist.: Gadag Karnataka State,Dharwad,KARNATAKA,08372-289069,9448358772,http://www.khpkvk.org,asf_hulkoti(at)yahoo[dot]co.in
0,AGSK SAMSTHE,AMARESWAR GRAMINABHIVRUDDHI SHIKSAN MATTU KALYAN SAMSTHE( AGSK SAMSTHE) MILLENNIUM CAMPUS DADEGAL KOPPAL-583231,KOPPAL,KARNATAKA,08539-200552,9448118985,http://mgikoppal.org,kanavigirish(at)yahoo[dot]com
0,AHI EDUCATION AND WELFARE ASSOCIATION(MINORITY),"K R NAGAR,1ST MAIN,HARIHARA",HARIHARA,KARNATAKA,Not Available,9740111571,Not Available,hmrpatel1234(at)gmail[dot]com
0,AHP-Action on Hunger And Poverty Foundation,"2B, WOOD SIDE APARTMENTS, NO. 77, NGEF, LAY OUT, 50FT ROAD, 5TH CROSS, SANJAY NAGAR, BANGALORE 560094",BANGALORE,KARNATAKA,Not Available,9910334754,http://www.ahp.org.in,saraswathi[dot]rao(at)ahp.org.in
0,Ahum Trust,B-001 Southridge Apartments Behind Jakkur Flying Club jakkur Bangalore-560064,Bangalore,KARNATAKA,Not Available,9886334046,https://www.ahum.in/,contact(at)ahum[dot]in
0,AIC NCore Developmental Impact Foundation,"140, Ballezea, Narayanaghatta Village, Muthanallur Circle, Anekal, Bangalore 560099, Karnataka",BENGALURU,KARNATAKA,Not Available,9746024067,Not Available,sudha(at)thenudge[dot]org
0,AIF OF MOTOR VEHICLE DEPARTMENT TECHNICAL EXECUTIVE OFFICERS ASSOCIATION,"406, Mythri Apts, Judges colony ,R.T.Nagar, Bangalore560032",Bangalore,KARNATAKA,Not Available,9741190000,Not Available,ashahamed78(at)gmail[dot]com
0,AIMS,"AIMS 22, 8TH MAIN, 3RD CROSS, SARASWATHIPURAM, MYSORE570 009",MYSORE,KARNATAKA,Not Available,9845032260,https://www.aimsconsultants.in,sandeepurs(at)aimsconsultants[dot]in
0,Aina Trust,"1487/B, LNR Garden, Kariyanapalya St.Thomas Town Post Bangalore560 084",Bangalore,KARNATAKA,Not Available,8310338040,http://www.ainatrust.in,ainatrust(at)gmail[dot]com
0,Aishwary Mahila Samsthe,"Ganga Nivas, Navarasapur Colony, Opp: New Court, Vijayapur-586101",Vijayapur,KARNATAKA,08352-278197,9342497515,Not Available,rashmichitwadgi(at)gmail[dot]com
0,aishwarya kalanikethana,"Aishwarya Kalanikethana, 1049, M G road, Chikkaballapur district - 562101, Karnataka.",Not Available,KARNATAKA,080-26723849,9448491232,Not Available,aishwarya_kala(at)yahoo[dot]in
